Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
P52888	reviewed	THOP1_HUMAN	Thimet oligopeptidase, EC 3.4.24.15 (Endopeptidase 24.15) (MP78)	Homo sapiens (Human)	689	THOP1	THOP1	1S4B;2O36;
P52895	reviewed	AK1C2_HUMAN	Aldo-keto reductase family 1 member C2, EC 1.-.-.-, EC 1.1.1.112, EC 1.1.1.209, EC 1.1.1.53, EC 1.1.1.62, EC 1.3.1.20 (3-alpha-HSD3) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2, DD-2, DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein, DD/BABP) (Type III 3-alpha-hydroxysteroid dehydrogenase, EC 1.1.1.357)	Homo sapiens (Human)	323	AKR1C2	AKR1C2 DDH2	1IHI;1J96;1XJB;2HDJ;2IPJ;4JQ1;4JQ2;4JQ3;4JQ4;4JQA;4JTQ;4JTR;4L1W;4L1X;4XO6;4XO7;
P52907	reviewed	CAZA1_HUMAN	F-actin-capping protein subunit alpha-1 (CapZ alpha-1)	Homo sapiens (Human)	286	CAPZA1	CAPZA1	1MQ1;1MWN;
P52945	reviewed	PDX1_HUMAN	Pancreas/duodenum homeobox protein 1, PDX-1 (Glucose-sensitive factor, GSF) (Insulin promoter factor 1, IPF-1) (Insulin upstream factor 1, IUF-1) (Islet/duodenum homeobox-1, IDX-1) (Somatostatin-transactivating factor 1, STF-1)	Homo sapiens (Human)	283	PDX1	PDX1 IPF1 STF1	6F8F;7KPK;
P52948	reviewed	NUP98_HUMAN	Nuclear pore complex protein Nup98-Nup96, EC 3.4.21.- [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98, Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96, Nup96) ]	Homo sapiens (Human)	1817	NUP98	NUP98 ADAR2	1KO6;2Q5X;2Q5Y;3MMY;4OWR;5A9Q;6BZM;7PEQ;7VPG;7VPH;
P52952	reviewed	NKX25_HUMAN	Homeobox protein Nkx-2.5 (Cardiac-specific homeobox) (Homeobox protein CSX) (Homeobox protein NK-2 homolog E)	Homo sapiens (Human)	324	NKX2-5	NKX2-5 CSX NKX2.5 NKX2E	3RKQ;4S0H;6WC2;6WC5;
P53004	reviewed	BIEA_HUMAN	Biliverdin reductase A, BVR A, EC 1.3.1.24 (Biliverdin-IX alpha-reductase)	Homo sapiens (Human)	296	BLVRA	BLVRA BLVR BVR	2H63;
P53041	reviewed	PPP5_HUMAN	Serine/threonine-protein phosphatase 5, PP5, EC 3.1.3.16 (Protein phosphatase T, PP-T, PPT)	Homo sapiens (Human)	499	PPP5C	PPP5C PPP5	1A17;1S95;1WAO;2BUG;3H60;3H61;3H62;3H63;3H64;3H66;3H67;3H68;3H69;4ZVZ;4ZX2;5HPE;5UI1;5WG8;
P53350	reviewed	PLK1_HUMAN	Serine/threonine-protein kinase PLK1, EC 2.7.11.21 (Polo-like kinase 1, PLK-1) (Serine/threonine-protein kinase 13, STPK13)	Homo sapiens (Human)	603	PLK1	PLK1 PLK	1Q4K;1Q4O;1UMW;2OGQ;2OJX;2OU7;2OWB;2RKU;2V5Q;2YAC;3BZI;3C5L;3FC2;3FVH;3HIH;3HIK;3KB7;3P2W;3P2Z;3P34;3P35;3P36;3P37;3Q1I;3RQ7;3THB;4A4L;4A4O;4DFW;4E67;4E9C;4E9D;4H5X;4H71;4HAB;4HCO;4HY2;4J52;4J53;4LKL;4LKM;4O56;4O6W;4O9W;4RCP;4WHH;4WHK;4WHL;4X9R;4X9V;4X9W;5J19;5NEI;5NFU;5NJE;5NMM;5NN1;5NN2;5TA6;5TA8;6AX4;6GY2;7MSO;7MX1;
P53355	reviewed	DAPK1_HUMAN	Death-associated protein kinase 1, DAP kinase 1, EC 2.7.11.1	Homo sapiens (Human)	1430	DAPK1	DAPK1 DAPK	1IG1;1JKK;1JKL;1JKS;1JKT;1P4F;1WVW;1WVX;1WVY;1YR5;2W4J;2W4K;2X0G;2XUU;2XZS;2Y0A;2Y4P;2Y4V;2YAK;3DFC;3DGK;3EH9;3EHA;3F5G;3F5U;3GU4;3GU5;3GU6;3GU7;3GU8;3GUB;3ZXT;4B4L;4PF4;4TL0;4TXC;4UV0;4YO4;4YPD;5AUT;5AUU;5AUV;5AUW;5AUX;5AUY;5AUZ;5AV0;5AV1;5AV2;5AV3;5AV4;6AAR;6FHA;6FHB;6GY5;6IN4;6QMO;6QN4;7CCU;7CCV;7CCW;
P53365	reviewed	ARFP2_HUMAN	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1, POR1)	Homo sapiens (Human)	341	ARFIP2	ARFIP2 POR1	1I49;1I4D;1I4L;1I4T;4DCN;
P53370	reviewed	NUDT6_HUMAN	Nucleoside diphosphate-linked moiety X motif 6, Nudix motif 6, EC 3.6.1.- (Antisense basic fibroblast growth factor) (Protein GFG)	Homo sapiens (Human)	316	NUDT6	NUDT6 FGF2AS	3FXT;3H95;
P53396	reviewed	ACLY_HUMAN	ATP-citrate synthase, EC 2.3.3.8 (ATP-citrate (pro-S-)-lyase, ACL) (Citrate cleavage enzyme)	Homo sapiens (Human)	1101	ACLY	ACLY	3MWD;3MWE;3PFF;5TDE;5TDF;5TDM;5TDZ;5TE1;5TEQ;5TES;5TET;6HXH;6HXK;6HXL;6HXM;6O0H;6POE;6POF;6QFB;6UI9;6UIA;6UUW;6UUZ;6UV5;6Z2H;7LIW;7LJ9;7LLA;
P53420	reviewed	CO4A4_HUMAN	Collagen alpha-4(IV) chain	Homo sapiens (Human)	1690	COL4A4	COL4A4	5NB1;6WKU;
P53539	reviewed	FOSB_HUMAN	Protein FosB (FosB proto-oncogene, AP-1 transcription factor subunit) (G0/G1 switch regulatory protein 3) (Transcription factor AP-1 subunit FosB)	Homo sapiens (Human)	338	FOSB	FOSB G0S3	5VPA;5VPB;5VPC;5VPD;5VPE;5VPF;6UCI;6UCL;6UCM;
P53582	reviewed	MAP11_HUMAN	Methionine aminopeptidase 1, MAP 1, MetAP 1, EC 3.4.11.18 (Peptidase M 1)	Homo sapiens (Human)	386	METAP1	METAP1 KIAA0094	2B3H;2B3K;2B3L;2G6P;2GZ5;2NQ6;2NQ7;4FLI;4FLJ;4FLK;4FLL;4HXX;4IKR;4IKS;4IKT;4IKU;4IU6;4U1B;4U69;4U6C;4U6E;4U6J;4U6W;4U6Z;4U70;4U71;4U73;4U75;4U76;5YKP;5YR4;5YR5;5YR6;5YR7;6LZB;6LZC;
P53597	reviewed	SUCA_HUMAN	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial, EC 6.2.1.4, EC 6.2.1.5 (Succinyl-CoA synthetase subunit alpha, SCS-alpha)	Homo sapiens (Human)	346	SUCLG1	SUCLG1	6G4Q;6WCV;
P53602	reviewed	MVD1_HUMAN	Diphosphomevalonate decarboxylase, EC 4.1.1.33 (Mevalonate (diphospho)decarboxylase, MDDase) (Mevalonate pyrophosphate decarboxylase)	Homo sapiens (Human)	400	MVD	MVD MPD	3D4J;
P53611	reviewed	PGTB2_HUMAN	Geranylgeranyl transferase type-2 subunit beta, EC 2.5.1.60 (Geranylgeranyl transferase type II subunit beta, GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta, Rab GG transferase beta, Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta)	Homo sapiens (Human)	331	RABGGTB	RABGGTB GGTB	6J6X;6J74;6J7F;6J7X;6O60;
P53621	reviewed	COPA_HUMAN	Coatomer subunit alpha (Alpha-coat protein, Alpha-COP) (HEP-COP, HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin ]	Homo sapiens (Human)	1224	COPA	COPA	6PBG;6TZT;6U3V;
P53634	reviewed	CATC_HUMAN	Dipeptidyl peptidase 1, EC 3.4.14.1 (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I, DPP-I, DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain) ]	Homo sapiens (Human)	463	CTSC	CTSC CPPI	1K3B;2DJF;2DJG;3PDF;4CDC;4CDD;4CDE;4CDF;4OEL;4OEM;
P53667	reviewed	LIMK1_HUMAN	LIM domain kinase 1, LIMK-1, EC 2.7.11.1	Homo sapiens (Human)	647	LIMK1	LIMK1 LIMK	3S95;5HVJ;5HVK;5L6W;5NXC;6WLY;7ATS;7ATU;7B8W;
P53671	reviewed	LIMK2_HUMAN	LIM domain kinase 2, LIMK-2, EC 2.7.11.1	Homo sapiens (Human)	638	LIMK2	LIMK2	1X6A;4TPT;5NXD;7QHG;
P53673	reviewed	CRBA4_HUMAN	Beta-crystallin A4 (Beta-A4 crystallin)	Homo sapiens (Human)	196	CRYBA4	CRYBA4	3LWK;
P53674	reviewed	CRBB1_HUMAN	Beta-crystallin B1 (Beta-B1 crystallin)	Homo sapiens (Human)	252	CRYBB1	CRYBB1	1OKI;
P53680	reviewed	AP2S1_HUMAN	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)	Homo sapiens (Human)	142	AP2S1	AP2S1 AP17 CLAPS2	6URI;
P53778	reviewed	MK12_HUMAN	Mitogen-activated protein kinase 12, MAP kinase 12, MAPK 12, EC 2.7.11.24 (Extracellular signal-regulated kinase 6, ERK-6) (Mitogen-activated protein kinase p38 gamma, MAP kinase p38 gamma) (Stress-activated protein kinase 3)	Homo sapiens (Human)	367	MAPK12	MAPK12 ERK6 SAPK3	1CM8;4QUM;6UNA;7CGA;
P53779	reviewed	MK10_HUMAN	Mitogen-activated protein kinase 10, MAP kinase 10, MAPK 10, EC 2.7.11.24 (MAP kinase p49 3F12) (Stress-activated protein kinase 1b, SAPK1b) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3)	Homo sapiens (Human)	464	MAPK10	MAPK10 JNK3 JNK3A PRKM10 SAPK1B	1JNK;1PMN;1PMU;1PMV;2B1P;2EXC;2O0U;2O2U;2OK1;2P33;2R9S;2WAJ;2ZDT;2ZDU;3CGF;3CGO;3DA6;3FI2;3FI3;3FV8;3G90;3G9L;3G9N;3KVX;3OXI;3OY1;3PTG;3RTP;3TTI;3TTJ;3V6R;3V6S;4H36;4H39;4H3B;4KKE;4KKG;4KKH;4U79;4W4V;4W4W;4W4X;4W4Y;4WHZ;4X21;4Y46;4Y5H;4Z9L;6EKD;6EMH;6EQ9;7KSI;7KSJ;7KSK;7ORE;7ORF;7S1N;
P53803	reviewed	RPAB4_HUMAN	DNA-directed RNA polymerases I, II, and III subunit RPABC4, RNA polymerases I, II, and III subunit ABC4 (ABC10-alpha) (DNA-directed RNA polymerase II subunit K) (RNA polymerase II 7.0 kDa subunit, RPB7.0) (RPB10alpha)	Homo sapiens (Human)	58	POLR2K	POLR2K	5IY6;5IY7;5IY8;5IY9;5IYA;5IYB;5IYC;5IYD;6DRD;6O9L;6XRE;7A6H;7AE1;7AE3;7AEA;7AST;7D58;7D59;7DN3;7DU2;7FJI;7FJJ;7LBM;7OB9;7OBA;7OBB;7VBA;7VBB;7VBC;
P53805	reviewed	RCAN1_HUMAN	Calcipressin-1 (Adapt78) (Down syndrome critical region protein 1) (Myocyte-enriched calcineurin-interacting protein 1, MCIP1) (Regulator of calcineurin 1)	Homo sapiens (Human)	252	RCAN1	RCAN1 ADAPT78 CSP1 DSC1 DSCR1	6UUQ;
P53814	reviewed	SMTN_HUMAN	Smoothelin	Homo sapiens (Human)	917	SMTN	SMTN SMSMO	2D87;
P53816	reviewed	PLAT3_HUMAN	Phospholipase A and acyltransferase 3, EC 2.3.1.-, EC 3.1.1.32, EC 3.1.1.4 (Adipose-specific phospholipase A2, AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog, H-REV107, HREV107-1) (HRAS-like suppressor 1) (HRAS-like suppressor 3, HRSL3) (HREV107-3) (Renal carcinoma antigen NY-REN-65)	Homo sapiens (Human)	162	PLAAT3	PLAAT3 HRASLS3 HREV107 PLA2G16	2KYT;4DOT;4FA0;4Q95;7C3Z;7C41;
P53985	reviewed	MOT1_HUMAN	Monocarboxylate transporter 1, MCT 1 (Solute carrier family 16 member 1)	Homo sapiens (Human)	500	SLC16A1	SLC16A1 MCT1	6LYY;6LZ0;7CKO;7CKR;7DA5;
P53990	reviewed	IST1_HUMAN	IST1 homolog, hIST1 (Charged multivesicular body protein 8, CHMP8) (Putative MAPK-activating protein PM28)	Homo sapiens (Human)	364	IST1	IST1 KIAA0174	3FRR;3FRS;3JC1;4U7E;4U7I;4U7Y;4WZX;6E8G;6TZ4;6TZ5;6TZA;
P53992	reviewed	SC24C_HUMAN	Protein transport protein Sec24C (SEC24-related protein C)	Homo sapiens (Human)	1094	SEC24C	SEC24C KIAA0079	3EH2;6PU1;
P53999	reviewed	TCP4_HUMAN	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4, PC4) (SUB1 homolog) (p14)	Homo sapiens (Human)	127	SUB1	SUB1 PC4 RPO2TC1	1PCF;2C62;2PHE;4USG;6YCS;7E4W;
P54098	reviewed	DPOG1_HUMAN	DNA polymerase subunit gamma-1, EC 2.7.7.7 (Mitochondrial DNA polymerase catalytic subunit) (PolG-alpha)	Homo sapiens (Human)	1239	POLG	POLG MDP1 POLG1 POLGA	3IKM;4ZTU;4ZTZ;5C51;5C52;5C53;
P54105	reviewed	ICLN_HUMAN	Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln, I(Cln)) (Chloride ion current inducer protein, ClCI) (Reticulocyte pICln)	Homo sapiens (Human)	237	CLNS1A	CLNS1A CLCI ICLN	6V0O;
P54132	reviewed	BLM_HUMAN	RecQ-like DNA helicase BLM, EC 3.6.4.12 (Bloom syndrome protein) (DNA helicase, RecQ-like type 2, RecQ2) (RecQ protein-like 3)	Homo sapiens (Human)	1417	BLM	BLM RECQ2 RECQL3	2KV2;2MH9;2RRD;3WE2;3WE3;4CDG;4CGZ;4O3M;5LUP;5MK5;5U6K;7AUC;7AUD;
P54136	reviewed	SYRC_HUMAN	Arginine--tRNA ligase, cytoplasmic, EC 6.1.1.19 (Arginyl-tRNA synthetase, ArgRS)	Homo sapiens (Human)	660	RARS1	RARS1 RARS	4Q2T;4Q2X;4Q2Y;4R3Z;4ZAJ;
P54198	reviewed	HIRA_HUMAN	Protein HIRA (TUP1-like enhancer of split protein 1)	Homo sapiens (Human)	1017	HIRA	HIRA DGCR1 HIR TUPLE1	2I32;5YJE;
P54252	reviewed	ATX3_HUMAN	Ataxin-3, EC 3.4.19.12 (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	Homo sapiens (Human)	361	ATXN3	ATXN3 ATX3 MJD MJD1 SCA3	1YZB;2AGA;2DOS;2JRI;2KLZ;4WTH;4YS9;
P54253	reviewed	ATX1_HUMAN	Ataxin-1 (Spinocerebellar ataxia type 1 protein)	Homo sapiens (Human)	815	ATXN1	ATXN1 ATX1 SCA1	1OA8;2M41;4APT;4AQP;4J2J;4J2L;6QIU;
P54274	reviewed	TERF1_HUMAN	Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1)	Homo sapiens (Human)	439	TERF1	TERF1 PIN2 TRBF1 TRF TRF1	1BA5;1H6O;1ITY;1IV6;1W0T;3BQO;3L82;5HKP;5WIR;5XUP;
P54277	reviewed	PMS1_HUMAN	PMS1 protein homolog 1 (DNA mismatch repair protein PMS1)	Homo sapiens (Human)	932	PMS1	PMS1 PMSL1	2CS1;
P54278	reviewed	PMS2_HUMAN	Mismatch repair endonuclease PMS2, EC 3.1.-.- (DNA mismatch repair protein PMS2) (PMS1 protein homolog 2)	Homo sapiens (Human)	862	PMS2	PMS2 PMSL2	1EA6;1H7S;1H7U;5U5R;6MFQ;7RCB;7RCI;7RCK;
P54284	reviewed	CACB3_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3, CAB3 (Calcium channel voltage-dependent subunit beta 3)	Homo sapiens (Human)	484	CACNB3	CACNB3 CACNLB3	7MIX;7MIY;
P54289	reviewed	CA2D1_HUMAN	Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1 ]	Homo sapiens (Human)	1103	CACNA2D1	CACNA2D1 CACNL2A CCHL2A MHS3	7MIX;7MIY;7VFS;7VFU;7VFV;7VFW;
P54315	reviewed	LIPR1_HUMAN	Inactive pancreatic lipase-related protein 1, PL-RP1	Homo sapiens (Human)	467	PNLIPRP1	PNLIPRP1 PLRP1	2PPL;
P54317	reviewed	LIPR2_HUMAN	Pancreatic lipase-related protein 2, PL-RP2 (Cytotoxic T lymphocyte lipase) (Galactolipase, EC 3.1.1.26) (Triacylglycerol lipase, EC 3.1.1.3)	Homo sapiens (Human)	469	PNLIPRP2	PNLIPRP2 PLRP2	2OXE;2PVS;
P54368	reviewed	OAZ1_HUMAN	Ornithine decarboxylase antizyme 1, AZ1, ODC-Az	Homo sapiens (Human)	228	OAZ1	OAZ1 OAZ	4ZGY;4ZGZ;5BWA;
P54577	reviewed	SYYC_HUMAN	Tyrosine--tRNA ligase, cytoplasmic, EC 6.1.1.1 (Tyrosyl-tRNA synthetase, TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed ]	Homo sapiens (Human)	528	YARS1	YARS1 YARS	1N3L;1NTG;1Q11;4Q93;4QBT;5THH;5THL;
P54578	reviewed	UBP14_HUMAN	Ubiquitin carboxyl-terminal hydrolase 14, EC 3.4.19.12 (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	Homo sapiens (Human)	494	USP14	USP14 TGT	2AYN;2AYO;5GJQ;6IIK;6IIL;6IIM;6IIN;6LVS;
P54619	reviewed	AAKG1_HUMAN	5'-AMP-activated protein kinase subunit gamma-1, AMPK gamma1, AMPK subunit gamma-1, AMPKg	Homo sapiens (Human)	331	PRKAG1	PRKAG1	2UV4;2UV5;2UV6;2UV7;4CFE;4CFF;4RER;4REW;4ZHX;5EZV;5ISO;6B1U;6B2E;6C9F;6C9G;6C9H;6C9J;7JHG;7JHH;7JIJ;7M74;
P54646	reviewed	AAPK2_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-2, AMPK subunit alpha-2, EC 2.7.11.1 (Acetyl-CoA carboxylase kinase, ACACA kinase, EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase, HMGCR kinase, EC 2.7.11.31)	Homo sapiens (Human)	552	PRKAA2	PRKAA2 AMPK AMPK2	2H6D;2LTU;2YZA;3AQV;4CFE;4CFF;4ZHX;5EZV;5ISO;6B1U;6B2E;6BX6;
P54652	reviewed	HSP72_HUMAN	Heat shock-related 70 kDa protein 2, Heat shock 70 kDa protein 2	Homo sapiens (Human)	639	HSPA2	HSPA2	3I33;4FSV;5FPD;5FPE;5FPM;5FPN;
P54687	reviewed	BCAT1_HUMAN	Branched-chain-amino-acid aminotransferase, cytosolic, BCAT(c), EC 2.6.1.42 (Protein ECA39)	Homo sapiens (Human)	386	BCAT1	BCAT1 BCT1 ECA39	2ABJ;2COG;2COI;2COJ;
P54710	reviewed	ATNG_HUMAN	Sodium/potassium-transporting ATPase subunit gamma, Na(+)/K(+) ATPase subunit gamma (FXYD domain-containing ion transport regulator 2) (Sodium pump gamma chain)	Homo sapiens (Human)	66	FXYD2	FXYD2 ATP1C ATP1G1	2MKV;
P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A, HR23A, hHR23A	Homo sapiens (Human)	363	RAD23A	RAD23A	1DV0;1F4I;1IFY;1OQY;1P98;1P9D;1QZE;1TP4;2WYQ;5XBO;6W2G;6W2H;6W2I;6XQI;6XQJ;
P54727	reviewed	RD23B_HUMAN	UV excision repair protein RAD23 homolog B, HR23B, hHR23B (XP-C repair-complementing complex 58 kDa protein, p58)	Homo sapiens (Human)	409	RAD23B	RAD23B	1P1A;1PVE;1UEL;
P54753	reviewed	EPHB3_HUMAN	Ephrin type-B receptor 3, EC 2.7.10.1 (EPH-like tyrosine kinase 2, EPH-like kinase 2) (Embryonic kinase 2, EK2, hEK2) (Tyrosine-protein kinase TYRO6)	Homo sapiens (Human)	998	EPHB3	EPHB3 ETK2 HEK2 TYRO6	3P1I;3ZFY;5L6O;5L6P;
P54756	reviewed	EPHA5_HUMAN	Ephrin type-A receptor 5, EC 2.7.10.1 (Brain-specific kinase) (EPH homology kinase 1, EHK-1) (EPH-like kinase 7, EK7, hEK7)	Homo sapiens (Human)	1037	EPHA5	EPHA5 BSK EHK1 HEK7 TYRO4	2R2P;4ET7;
P54760	reviewed	EPHB4_HUMAN	Ephrin type-B receptor 4, EC 2.7.10.1 (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)	Homo sapiens (Human)	987	EPHB4	EPHB4 HTK MYK1 TYRO11	2BBA;2E7H;2HLE;2QKQ;2VWU;2VWV;2VWW;2VWX;2VWY;2VWZ;2VX0;2VX1;2X9F;2XVD;2YN8;3ZEW;4AW5;4BB4;6FNI;6FNJ;6FNK;6FNL;6FNM;
P54762	reviewed	EPHB1_HUMAN	Ephrin type-B receptor 1, EC 2.7.10.1 (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6, EK6, hEK6) (Neuronally-expressed EPH-related tyrosine kinase, NET) (Tyrosine-protein kinase receptor EPH-2)	Homo sapiens (Human)	984	EPHB1	EPHB1 ELK EPHT2 HEK6 NET	2DJS;2EAO;3ZFX;5MJA;5MJB;6UMW;7KPL;7KPM;
P54764	reviewed	EPHA4_HUMAN	Ephrin type-A receptor 4, EC 2.7.10.1 (EPH-like kinase 8, EK8, hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)	Homo sapiens (Human)	986	EPHA4	EPHA4 HEK8 SEK TYRO1	2LW8;2WO1;2WO2;2WO3;3CKH;3GXU;4BK4;4BK5;4BKA;4BKF;4M4P;4M4R;4W4Z;4W50;5JR2;7OFV;
P54802	reviewed	ANAG_HUMAN	Alpha-N-acetylglucosaminidase, EC 3.2.1.50 (N-acetyl-alpha-glucosaminidase, NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form ]	Homo sapiens (Human)	743	NAGLU	NAGLU UFHSD1	4XWH;
P54819	reviewed	KAD2_HUMAN	Adenylate kinase 2, mitochondrial, AK 2, EC 2.7.4.3 (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed ]	Homo sapiens (Human)	239	AK2	AK2 ADK2	2C9Y;
P54829	reviewed	PTN5_HUMAN	Tyrosine-protein phosphatase non-receptor type 5, EC 3.1.3.48 (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase, STEP)	Homo sapiens (Human)	565	PTPN5	PTPN5	2BIJ;2BV5;2CJZ;5OVR;5OVX;5OW1;6H8R;
P54855	reviewed	UDB15_HUMAN	UDP-glucuronosyltransferase 2B15, UDPGT 2B15, UGT2B15, EC 2.4.1.17 (HLUG4) (UDP-glucuronosyltransferase 2B8, UDPGT 2B8) (UDPGTh-3)	Homo sapiens (Human)	530	UGT2B15	UGT2B15 UGT2B8	6IPB;7CJX;
P54868	reviewed	HMCS2_HUMAN	Hydroxymethylglutaryl-CoA synthase, mitochondrial, HMG-CoA synthase, EC 2.3.3.10 (3-hydroxy-3-methylglutaryl coenzyme A synthase)	Homo sapiens (Human)	508	HMGCS2	HMGCS2	2WYA;
P54886	reviewed	P5CS_HUMAN	Delta-1-pyrroline-5-carboxylate synthase, P5CS (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase, GK, EC 2.7.2.11 (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase, GPR, EC 1.2.1.41 (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) ]	Homo sapiens (Human)	795	ALDH18A1	ALDH18A1 GSAS P5CS PYCS	2H5G;
P54922	reviewed	ADPRH_HUMAN	ADP-ribosylhydrolase ARH1, EC 3.2.2.19 (ADP-ribose-L-arginine cleaving enzyme) ([Protein ADP-ribosylarginine] hydrolase, ADP-ribosylarginine hydrolase, hARH1)	Homo sapiens (Human)	357	ADPRH	ADPRH ARH1	3HFW;6G28;6G2A;6IUX;
P55000	reviewed	SLUR1_HUMAN	Secreted Ly-6/uPAR-related protein 1, SLURP-1 (ARS component B) (ARS(component B)-81/S) (Anti-neoplastic urinary protein, ANUP)	Homo sapiens (Human)	103	SLURP1	SLURP1 ARS	6ZZE;6ZZF;
P55008	reviewed	AIF1_HUMAN	Allograft inflammatory factor 1, AIF-1 (Ionized calcium-binding adapter molecule 1) (Protein G1)	Homo sapiens (Human)	147	AIF1	AIF1 G1 IBA1	2D58;2G2B;
P55010	reviewed	IF5_HUMAN	Eukaryotic translation initiation factor 5, eIF-5	Homo sapiens (Human)	431	EIF5	EIF5	2E9H;2G2K;2IU1;
P55011	reviewed	S12A2_HUMAN	Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2)	Homo sapiens (Human)	1212	SLC12A2	SLC12A2 NKCC1	6PZT;7D10;
P55036	reviewed	PSMD4_HUMAN	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1, AF, ASF) (Multiubiquitin chain-binding protein)	Homo sapiens (Human)	377	PSMD4	PSMD4 MCB1	1P9C;1P9D;1UEL;1YX4;1YX5;1YX6;2KDE;2KDF;5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6MUN;6U19;6WJD;6WJN;
P55040	reviewed	GEM_HUMAN	GTP-binding protein GEM (GTP-binding mitogen-induced T-cell protein) (RAS-like protein KIR)	Homo sapiens (Human)	296	GEM	GEM KIR	2CJW;2G3Y;2HT6;
P55042	reviewed	RAD_HUMAN	GTP-binding protein RAD (RAD1) (Ras associated with diabetes)	Homo sapiens (Human)	308	RRAD	RRAD RAD	2DPX;2GJS;3Q72;3Q7P;3Q7Q;
P55055	reviewed	NR1H2_HUMAN	Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor)	Homo sapiens (Human)	460	NR1H2	NR1H2 LXRB NER UNR	1P8D;1PQ6;1PQ9;1PQC;1UPV;1UPW;3KFC;3L0E;4DK7;4DK8;4NQA;4RAK;5HJP;5I4V;5JY3;5KYA;5KYJ;6JIO;6K9G;6K9H;6K9M;6S4N;6S4T;6S4U;6S5K;
