Entry	Status	Ensembl transcript	Gene names  (primary )	3D	Cross-reference (InterPro)	Organism
Q8IV38	reviewed	ENST00000306999;	ANKMY2		IPR002110;IPR020683;IPR036770;IPR002893;	Homo sapiens (Human)
P07306	reviewed	ENST00000269299 [P07306-1];ENST00000574388 [P07306-2];ENST00000619926 [P07306-2];	ASGR1	X-ray crystallography (4)	IPR001304;IPR016186;IPR018378;IPR033989;IPR016187;	Homo sapiens (Human)
O60512	reviewed	ENST00000319769 [O60512-1];ENST00000367998 [O60512-1];ENST00000622395 [O60512-1];	B4GALT3		IPR003859;IPR027791;IPR027995;IPR029044;	Homo sapiens (Human)
P15291	reviewed	ENST00000379731 [P15291-1];	B4GALT1	X-ray crystallography (19)	IPR003859;IPR027791;IPR027995;IPR029044;	Homo sapiens (Human)
Q92793	reviewed	ENST00000262367 [Q92793-1];ENST00000382070 [Q92793-2];	CREBBP	X-ray crystallography (84); NMR spectroscopy (19)	IPR001487;IPR036427;IPR018359;IPR031162;IPR013178;IPR003101;IPR036529;IPR009110;IPR014744;IPR037073;IPR010303;IPR038547;IPR035898;IPR013083;IPR000197;IPR000433;IPR043145;	Homo sapiens (Human)
P11509	reviewed	ENST00000301141;	CYP2A6	X-ray crystallography (11)	IPR001128;IPR017972;IPR002401;IPR008067;IPR036396;	Homo sapiens (Human)
P31689	reviewed	ENST00000330899 [P31689-1];	DNAJA1	X-ray crystallography (1); NMR spectroscopy (2)	IPR012724;IPR002939;IPR001623;IPR018253;IPR044713;IPR008971;IPR001305;IPR036410;IPR036869;	Homo sapiens (Human)
Q96EY1	reviewed	ENST00000262375 [Q96EY1-1];ENST00000355296 [Q96EY1-2];ENST00000431375 [Q96EY1-3];ENST00000612103 [Q96EY1-1];ENST00000614397 [Q96EY1-2];	DNAJA3	NMR spectroscopy (3)	IPR012724;IPR002939;IPR001623;IPR018253;IPR008971;IPR001305;IPR036410;IPR036869;	Homo sapiens (Human)
Q96KS0	reviewed	ENST00000303961 [Q96KS0-1];ENST00000406058 [Q96KS0-1];ENST00000593726 [Q96KS0-1];	EGLN2	X-ray crystallography (1)	IPR005123;IPR006620;	Homo sapiens (Human)
Q8IV48	reviewed	ENST00000250263;ENST00000519292;	ERI1	X-ray crystallography (5)	IPR013520;IPR012337;IPR036397;IPR003034;IPR036361;	Homo sapiens (Human)
P21589	reviewed	ENST00000257770 [P21589-1];ENST00000369651 [P21589-2];	NT5E	X-ray crystallography (24)	IPR008334;IPR036907;IPR006146;IPR006179;IPR004843;IPR029052;	Homo sapiens (Human)
P31751	reviewed	ENST00000311278 [P31751-2];ENST00000392038 [P31751-1];ENST00000424901 [P31751-2];	AKT2	X-ray crystallography (16); NMR spectroscopy (1)	IPR000961;IPR034677;IPR011009;IPR011993;IPR001849;IPR039026;IPR017892;IPR000719;IPR017441;IPR008271;	Homo sapiens (Human)
P55263	reviewed	ENST00000372734 [P55263-2];ENST00000539909 [P55263-1];ENST00000672429 [P55263-3];ENST00000673027 [P55263-4];	ADK	X-ray crystallography (4)	IPR001805;IPR002173;IPR011611;IPR029056;	Homo sapiens (Human)
P00813	reviewed	ENST00000372874;	ADA	Model (1); X-ray crystallography (1)	IPR006650;IPR001365;IPR028893;IPR006330;IPR032466;	Homo sapiens (Human)
P98198	reviewed	ENST00000368487 [P98198-4];ENST00000672630 [P98198-3];	ATP8B2		IPR030347;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006539;IPR032631;IPR001757;IPR032630;IPR044492;	Homo sapiens (Human)
Q13490	reviewed	ENST00000227758 [Q13490-1];ENST00000530675 [Q13490-2];ENST00000613397 [Q13490-1];	BIRC2	X-ray crystallography (21); NMR spectroscopy (2)	IPR001370;IPR041933;IPR001315;IPR011029;IPR001841;	Homo sapiens (Human)
Q9NPF0	reviewed	ENST00000301458 [Q9NPF0-1];ENST00000537716 [Q9NPF0-2];	CD320	X-ray crystallography (2)	IPR036055;IPR023415;IPR002172;	Homo sapiens (Human)
Q99829	reviewed	ENST00000352393;ENST00000397443;	CPNE1		IPR000008;IPR035892;IPR037768;IPR010734;IPR002035;IPR036465;	Homo sapiens (Human)
Q9HCS2	reviewed	ENST00000324632 [Q9HCS2-1];ENST00000517734 [Q9HCS2-2];ENST00000548435 [Q9HCS2-2];ENST00000550308 [Q9HCS2-1];	CYP4F12		IPR001128;IPR017972;IPR002401;IPR036396;	Homo sapiens (Human)
P04839	reviewed	ENST00000378588;	CYBB	X-ray crystallography (1)	IPR000778;IPR013112;IPR017927;IPR013130;IPR013121;IPR039261;IPR017938;	Homo sapiens (Human)
Q9H4B8	reviewed	ENST00000268793;	DPEP3	X-ray crystallography (2)	IPR000180;IPR028531;IPR032466;IPR008257;	Homo sapiens (Human)
Q8IXL6	reviewed	ENST00000313766 [Q8IXL6-1];ENST00000672066 [Q8IXL6-1];	FAM20C	X-ray crystallography (1)	IPR024869;IPR009581;	Homo sapiens (Human)
Q6ZNF0	reviewed	ENST00000331256;	ACP7		IPR004843;IPR029052;IPR041792;IPR008963;IPR015914;IPR025733;	Homo sapiens (Human)
Q8TDN7	reviewed	ENST00000301452;	ACER1		IPR008901;	Homo sapiens (Human)
P28332	reviewed	ENST00000237653 [P28332-1];ENST00000394899 [P28332-2];	ADH6		IPR028633;IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;IPR020843;	Homo sapiens (Human)
Q9UKF2	reviewed	ENST00000369400 [Q9UKF2-1];	ADAM30		IPR006586;IPR018358;IPR001762;IPR036436;IPR000742;IPR024079;IPR001590;IPR002870;IPR034027;	Homo sapiens (Human)
P27824	reviewed	ENST00000247461 [P27824-1];ENST00000452673 [P27824-1];ENST00000502296 [P27824-1];ENST00000504734 [P27824-1];ENST00000506654 [P27824-3];ENST00000509563 [P27824-1];ENST00000513246 [P27824-1];ENST00000638425 [P27824-1];ENST00000638706 [P27824-1];ENST00000639938 [P27824-1];ENST00000680006 [P27824-3];ENST00000680013 [P27824-1];ENST00000680042 [P27824-1];ENST00000680092 [P27824-1];ENST00000680618 [P27824-1];ENST00000680827 [P27824-3];ENST00000681072 [P27824-1];ENST00000681168 [P27824-1];ENST00000681476 [P27824-1];ENST00000681674 [P27824-1];ENST00000681712 [P27824-1];ENST00000681733 [P27824-1];ENST00000681903 [P27824-1];	CANX		IPR001580;IPR018124;IPR009033;IPR013320;	Homo sapiens (Human)
Q9BZB8	reviewed	ENST00000611163 [Q9BZB8-4];ENST00000615198 [Q9BZB8-3];ENST00000616775 [Q9BZB8-2];ENST00000617462 [Q9BZB8-4];ENST00000617522 [Q9BZB8-4];ENST00000618449 [Q9BZB8-2];ENST00000619696 [Q9BZB8-4];ENST00000620182 [Q9BZB8-4];ENST00000620212 [Q9BZB8-4];ENST00000631674 [Q9BZB8-4];ENST00000632526 [Q9BZB8-4];	CPEB1	NMR spectroscopy (5)	IPR032292;IPR032296;IPR038446;IPR034819;IPR034977;IPR012677;IPR035979;IPR000504;	Homo sapiens (Human)
P49916	reviewed	ENST00000262327 [P49916-2];ENST00000378526 [P49916-1];	LIG3	X-ray crystallography (5); NMR spectroscopy (3)	IPR001357;IPR036420;IPR000977;IPR012309;IPR012310;IPR016059;IPR012308;IPR036599;IPR031916;IPR012340;IPR001510;IPR036957;	Homo sapiens (Human)
Q9UL01	reviewed	ENST00000331677;ENST00000452085;ENST00000644252;	DSE	X-ray crystallography (1)	IPR008929;IPR032518;	Homo sapiens (Human)
Q9Y6X5	reviewed	ENST00000321037;	ENPP4	X-ray crystallography (2)	IPR017850;IPR029879;IPR002591;	Homo sapiens (Human)
Q6HA08	reviewed	ENST00000342380;	ASTL		IPR024079;IPR001506;IPR006026;	Homo sapiens (Human)
Q9NTI2	reviewed	ENST00000381655 [Q9NTI2-4];	ATP8A2		IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006539;IPR032631;IPR001757;IPR032630;IPR044492;	Homo sapiens (Human)
O43505	reviewed	ENST00000311181;	B4GAT1		IPR043189;	Homo sapiens (Human)
O94812	reviewed	ENST00000324385 [O94812-1];ENST00000397488 [O94812-2];ENST00000421665 [O94812-7];ENST00000426824 [O94812-6];ENST00000562208 [O94812-3];ENST00000568887 [O94812-5];ENST00000628027 [O94812-2];	BAIAP3		IPR000008;IPR035892;IPR014770;IPR014772;	Homo sapiens (Human)
Q8WUH1	reviewed	ENST00000548752 [Q8WUH1-3];ENST00000549115 [Q8WUH1-1];ENST00000607599 [Q8WUH1-2];	CHURC1	NMR spectroscopy (1)	IPR038543;IPR009508;	Homo sapiens (Human)
P10635	reviewed	ENST00000359033 [P10635-2];ENST00000612990;ENST00000645361 [P10635-1];	CYP2D6	X-ray crystallography (14)	IPR001128;IPR017972;IPR002401;IPR008069;IPR036396;	Homo sapiens (Human)
P02741	reviewed	ENST00000255030 [P02741-1];ENST00000368112 [P02741-2];	CRP	Model (1); X-ray crystallography (6)	IPR013320;IPR030476;IPR001759;	Homo sapiens (Human)
O14595	reviewed	ENST00000398073;	CTDSP2	X-ray crystallography (1)	IPR011948;IPR004274;IPR036412;IPR023214;IPR040078;	Homo sapiens (Human)
P08574	reviewed	ENST00000318911;	CYC1	Electron microscopy (3)	IPR036909;IPR002326;IPR021157;	Homo sapiens (Human)
Q7LFL8	reviewed	ENST00000302517 [Q7LFL8-1];ENST00000511048 [Q7LFL8-1];	CXXC5	X-ray crystallography (1)	IPR040388;IPR002857;	Homo sapiens (Human)
P49917	reviewed	ENST00000405925;ENST00000442234;ENST00000611712;	LIG4	X-ray crystallography (12); NMR spectroscopy (1)	IPR044125;IPR001357;IPR036420;IPR000977;IPR012309;IPR012310;IPR016059;IPR012308;IPR021536;IPR036599;IPR029710;IPR012340;	Homo sapiens (Human)
P43005	reviewed	ENST00000262352;	SLC1A1	Electron microscopy (1)	IPR001991;IPR018107;IPR036458;	Homo sapiens (Human)
Q8WW38	reviewed	ENST00000407775 [Q8WW38-1];	ZFPM2		IPR039746;IPR034731;IPR036236;IPR013087;	Homo sapiens (Human)
Q9BTE6	reviewed	ENST00000360221 [Q9BTE6-2];ENST00000427569 [Q9BTE6-1];	AARSD1		IPR018165;IPR018163;IPR009000;IPR012947;	Homo sapiens (Human)
Q9BYF1	reviewed	ENST00000252519 [Q9BYF1-1];ENST00000427411 [Q9BYF1-1];ENST00000677282 [Q9BYF1-3];ENST00000678073 [Q9BYF1-1];ENST00000680121 [Q9BYF1-1];	ACE2	Electron microscopy (28); Model (1); X-ray crystallography (17)	IPR031588;IPR001548;	Homo sapiens (Human)
Q06187	reviewed	ENST00000308731 [Q06187-1];ENST00000621635 [Q06187-2];	BTK	X-ray crystallography (90); NMR spectroscopy (4)	IPR035574;IPR011009;IPR011993;IPR001849;IPR000719;IPR017441;IPR001245;IPR000980;IPR036860;IPR036028;IPR001452;IPR008266;IPR020635;IPR001562;	Homo sapiens (Human)
P02458	reviewed	ENST00000337299 [P02458-1];ENST00000380518 [P02458-2];	COL2A1	X-ray crystallography (7); NMR spectroscopy (1)	IPR008160;IPR000885;IPR001007;	Homo sapiens (Human)
Q9HCH3	reviewed	ENST00000244751 [Q9HCH3-1];ENST00000393189 [Q9HCH3-2];	CPNE5		IPR000008;IPR035892;IPR037768;IPR010734;IPR002035;IPR036465;	Homo sapiens (Human)
Q02318	reviewed	ENST00000258415;	CYP27A1	Model (1)	IPR001128;IPR017972;IPR002401;IPR036396;	Homo sapiens (Human)
Q8N118	reviewed	ENST00000371901 [Q8N118-1];	CYP4X1		IPR001128;IPR017972;IPR002401;IPR036396;	Homo sapiens (Human)
P78329	reviewed	ENST00000221700 [P78329-1];	CYP4F2		IPR001128;IPR017972;IPR002401;IPR036396;	Homo sapiens (Human)
P20815	reviewed	ENST00000222982 [P20815-1];ENST00000439761 [P20815-2];ENST00000646887 [P20815-2];	CYP3A5	X-ray crystallography (1)	IPR001128;IPR017972;IPR008072;IPR002402;IPR036396;	Homo sapiens (Human)
Q5T2R2	reviewed	ENST00000376215 [Q5T2R2-1];	PDSS1		IPR008949;IPR000092;IPR033749;	Homo sapiens (Human)
Q8IUX4	reviewed	ENST00000308521 [Q8IUX4-1];ENST00000381565 [Q8IUX4-3];	APOBEC3F	Electron microscopy (1); X-ray crystallography (6)	IPR016192;IPR002125;IPR016193;	Homo sapiens (Human)
Q9BUB4	reviewed	ENST00000307921 [Q9BUB4-1];ENST00000564657 [Q9BUB4-1];	ADAT1		IPR002466;	Homo sapiens (Human)
Q08828	reviewed	ENST00000297323;	ADCY1		IPR001054;IPR018297;IPR032628;IPR030672;IPR029787;	Homo sapiens (Human)
P0DUB6	reviewed	ENST00000370083;	AMY1A	X-ray crystallography (13)	IPR006048;IPR031319;IPR006046;IPR006047;IPR013780;IPR017853;	Homo sapiens (Human)
P19961	reviewed	ENST00000361355 [P19961-1];ENST00000477657 [P19961-2];ENST00000610648 [P19961-1];	AMY2B		IPR006048;IPR031319;IPR006046;IPR006047;IPR013780;IPR017853;	Homo sapiens (Human)
P16615	reviewed	ENST00000308664 [P16615-2];ENST00000539276 [P16615-1];	ATP2A2	Electron microscopy (7); X-ray crystallography (3)	IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR005782;IPR001757;IPR044492;	Homo sapiens (Human)
Q9H6Q4	reviewed	ENST00000251588 [Q9H6Q4-1];ENST00000540986 [Q9H6Q4-3];ENST00000568545 [Q9H6Q4-3];	CIAO3		IPR009016;IPR004108;IPR003149;	Homo sapiens (Human)
Q9H324	reviewed	ENST00000595838 [Q9H324-2];	ADAMTS10		IPR041645;IPR010294;IPR013273;IPR024079;IPR001590;IPR002870;IPR010909;IPR000884;IPR036383;	Homo sapiens (Human)
Q76LX8	reviewed	ENST00000355699 [Q76LX8-2];ENST00000356589 [Q76LX8-3];ENST00000371929 [Q76LX8-1];ENST00000626597 [Q76LX8-1];ENST00000626744 [Q76LX8-2];ENST00000630465 [Q76LX8-3];	ADAMTS13	X-ray crystallography (4)	IPR041645;IPR006586;IPR013273;IPR024079;IPR001590;IPR035914;IPR000884;IPR036383;	Homo sapiens (Human)
Q8TE56	reviewed	ENST00000268070 [Q8TE56-1];	ADAMTS17		IPR041645;IPR006586;IPR010294;IPR013273;IPR024079;IPR001590;IPR002870;IPR010909;IPR000884;IPR036383;IPR013087;	Homo sapiens (Human)
Q8TE59	reviewed		ADAMTS19		IPR041645;IPR006586;IPR010294;IPR013273;IPR024079;IPR001590;IPR002870;IPR010909;IPR000884;IPR036383;	Homo sapiens (Human)
Q9UHI8	reviewed	ENST00000284984;	ADAMTS1	X-ray crystallography (4)	IPR041645;IPR006586;IPR010294;IPR013273;IPR024079;IPR013274;IPR001590;IPR002870;IPR000884;IPR036383;	Homo sapiens (Human)
O15072	reviewed	ENST00000286657;ENST00000622135;	ADAMTS3		IPR041645;IPR010294;IPR013273;IPR024079;IPR001590;IPR002870;IPR010909;IPR000884;IPR036383;	Homo sapiens (Human)
Q9UKP4	reviewed	ENST00000388820;	ADAMTS7		IPR041645;IPR010294;IPR013273;IPR024079;IPR001590;IPR002870;IPR010909;IPR000884;IPR036383;	Homo sapiens (Human)
Q03692	reviewed	ENST00000243222;ENST00000327673;ENST00000651968;	COL10A1	X-ray crystallography (1)	IPR001073;IPR008160;IPR008983;	Homo sapiens (Human)
Q5VT79	reviewed	ENST00000619162 [Q5VT79-1];ENST00000622769 [Q5VT79-2];	ANXA8L1		IPR001464;IPR018502;IPR018252;IPR037104;IPR009115;	Homo sapiens (Human)
Q9H2M3	reviewed	ENST00000255192 [Q9H2M3-1];ENST00000521567 [Q9H2M3-2];	BHMT2		IPR017226;IPR003726;IPR036589;	Homo sapiens (Human)
P0DN79	reviewed	ENST00000398168;ENST00000617706;ENST00000618024;ENST00000624406;	CBSL		IPR000644;IPR005857;IPR001216;IPR001926;IPR036052;	Homo sapiens (Human)
P31941	reviewed	ENST00000249116 [P31941-1];ENST00000402255 [P31941-1];ENST00000570508 [P31941-1];ENST00000618553 [P31941-1];ENST00000623492 [P31941-1];	APOBEC3A	X-ray crystallography (3); NMR spectroscopy (1)	IPR016192;IPR002125;IPR016193;	Homo sapiens (Human)
P13637	reviewed	ENST00000543770 [P13637-2];ENST00000545399 [P13637-3];ENST00000648268 [P13637-1];	ATP1A3		IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR005775;IPR001757;IPR044492;	Homo sapiens (Human)
P05997	reviewed	ENST00000374866;	COL5A2	Model (1)	IPR008160;IPR000885;IPR001007;	Homo sapiens (Human)
O00244	reviewed	ENST00000313115;ENST00000522710;ENST00000524142;	ATOX1	X-ray crystallography (11); NMR spectroscopy (4)	IPR017969;IPR006121;IPR036163;	Homo sapiens (Human)
P54289	reviewed	ENST00000356253 [P54289-1];ENST00000356860 [P54289-2];	CACNA2D1		IPR013680;IPR013608;IPR002035;IPR036465;	Homo sapiens (Human)
P24941	reviewed	ENST00000266970 [P24941-1];ENST00000354056 [P24941-2];	CDK2	Electron microscopy (2); Model (1); X-ray crystallography (417)	IPR011009;IPR000719;IPR017441;IPR008271;	Homo sapiens (Human)
Q8WYQ5	reviewed	ENST00000351989 [Q8WYQ5-1];ENST00000383024 [Q8WYQ5-3];ENST00000407755 [Q8WYQ5-3];	DGCR8	Electron microscopy (4); X-ray crystallography (4); NMR spectroscopy (1)	IPR040375;IPR014720;IPR001202;IPR036020;	Homo sapiens (Human)
Q86SQ9	reviewed	ENST00000236342 [Q86SQ9-1];ENST00000360009 [Q86SQ9-2];ENST00000525682 [Q86SQ9-4];ENST00000526219 [Q86SQ9-3];	DHDDS	X-ray crystallography (2)	IPR001441;IPR018520;IPR036424;	Homo sapiens (Human)
P0DPD8	reviewed	ENST00000402825 [P0DPD8-1];	EEF1AKMT4-ECE2		IPR024079;IPR041698;IPR000718;IPR018497;IPR042089;IPR008753;IPR029063;	Homo sapiens (Human)
P46952	reviewed	ENST00000294973 [P46952-1];	HAAO	X-ray crystallography (3)	IPR010329;IPR016700;IPR014710;IPR011051;	Homo sapiens (Human)
Q9H7F0	reviewed	ENST00000439040 [Q9H7F0-1];ENST00000645538 [Q9H7F0-1];	ATP13A3		IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006544;IPR001757;IPR044492;	Homo sapiens (Human)
Q16720	reviewed	ENST00000263519 [Q16720-1];ENST00000349466 [Q16720-1];ENST00000359149 [Q16720-2];ENST00000370186 [Q16720-3];ENST00000393842 [Q16720-6];	ATP2B3		IPR022141;IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006408;IPR001757;IPR044492;	Homo sapiens (Human)
Q9Y6H3	reviewed	ENST00000300145;ENST00000571490;	ATP23		IPR019165;	Homo sapiens (Human)
Q6IMN6	reviewed	ENST00000298892 [Q6IMN6-2];ENST00000395805 [Q6IMN6-10];ENST00000417045 [Q6IMN6-3];ENST00000454014 [Q6IMN6-5];	CAPRIN2	X-ray crystallography (3)	IPR001073;IPR028816;IPR022070;IPR041637;IPR008983;	Homo sapiens (Human)
Q9Y295	reviewed	ENST00000331457;	DRG1	NMR spectroscopy (1)	IPR012675;IPR031167;IPR006073;IPR031662;IPR006074;IPR027417;IPR005225;IPR004095;IPR012676;	Homo sapiens (Human)
O60423	reviewed	ENST00000310127 [O60423-2];ENST00000525591 [O60423-3];	ATP8B3		IPR030349;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006539;IPR032631;IPR001757;IPR032630;IPR044492;	Homo sapiens (Human)
P53004	reviewed	ENST00000265523;ENST00000402924;	BLVRA	X-ray crystallography (1)	IPR017094;IPR015249;IPR000683;IPR036291;	Homo sapiens (Human)
Q9NWK9	reviewed	ENST00000370574 [Q9NWK9-1];ENST00000431532 [Q9NWK9-2];	ZNHIT6		IPR007529;	Homo sapiens (Human)
P15088	reviewed	ENST00000296046;	CPA3		IPR034253;IPR036990;IPR003146;IPR000834;	Homo sapiens (Human)
Q5VU57	reviewed	ENST00000371839 [Q5VU57-1];	AGBL4		IPR040626;IPR000834;	Homo sapiens (Human)
O76031	reviewed	ENST00000300107;	CLPX		IPR003593;IPR003959;IPR019489;IPR004487;IPR027417;IPR010603;	Homo sapiens (Human)
Q9H0W9	reviewed	ENST00000331239 [Q9H0W9-1];ENST00000354421 [Q9H0W9-1];ENST00000528099 [Q9H0W9-1];ENST00000528288 [Q9H0W9-3];ENST00000540113 [Q9H0W9-2];	C11orf54	X-ray crystallography (1)	IPR015021;	Homo sapiens (Human)
P51801	reviewed	ENST00000375667 [P51801-2];ENST00000375679 [P51801-1];	CLCNKB		IPR000644;IPR014743;IPR001807;IPR002250;	Homo sapiens (Human)
Q7Z449	reviewed	ENST00000332884 [Q7Z449-1];	CYP2U1		IPR001128;IPR017972;IPR002401;IPR008069;IPR036396;	Homo sapiens (Human)
Q86W10	reviewed	ENST00000334194;	CYP4Z1		IPR001128;IPR017972;IPR002401;IPR036396;	Homo sapiens (Human)
Q66K64	reviewed	ENST00000254337;ENST00000672437;	DCAF15	Electron microscopy (1); X-ray crystallography (6)	IPR038914;IPR032734;	Homo sapiens (Human)
P48664	reviewed	ENST00000221742 [P48664-1];ENST00000544886 [P48664-2];ENST00000598504 [P48664-2];	SLC1A6		IPR001991;IPR018107;IPR036458;	Homo sapiens (Human)
P09172	reviewed	ENST00000393056;	DBH	X-ray crystallography (1)	IPR014784;IPR020611;IPR014783;IPR000323;IPR036939;IPR024548;IPR000945;IPR005018;IPR008977;IPR028460;	Homo sapiens (Human)
P63092	reviewed	ENST00000265620 [P63092-3];ENST00000354359 [P63092-4];ENST00000371085 [P63092-1];ENST00000371095 [P63092-2];	GNAS	Electron microscopy (47); X-ray crystallography (4)	IPR000367;IPR001019;IPR011025;IPR027417;	Homo sapiens (Human)
P06733	reviewed	ENST00000234590 [P06733-1];	ENO1	X-ray crystallography (7)	IPR000941;IPR036849;IPR029017;IPR020810;IPR020809;IPR020811;	Homo sapiens (Human)
Q96AK3	reviewed	ENST00000216099;	APOBEC3D		IPR016192;IPR002125;IPR016193;	Homo sapiens (Human)
Q9BYV7	reviewed	ENST00000357685 [Q9BYV7-1];ENST00000361053 [Q9BYV7-5];ENST00000438022 [Q9BYV7-2];ENST00000526088 [Q9BYV7-4];ENST00000531169 [Q9BYV7-2];ENST00000532593 [Q9BYV7-6];	BCO2		IPR004294;	Homo sapiens (Human)
Q9UHD1	reviewed	ENST00000320585 [Q9UHD1-1];ENST00000457199 [Q9UHD1-2];ENST00000646618 [Q9UHD1-1];ENST00000647220 [Q9UHD1-2];	CHORDC1	NMR spectroscopy (1)	IPR007051;IPR039790;IPR007052;IPR008978;	Homo sapiens (Human)
Q8N5K1	reviewed	ENST00000273986;	CISD2	X-ray crystallography (3)	IPR018967;IPR042216;IPR019610;	Homo sapiens (Human)
A0A140G945	reviewed	ENST00000619537 [A0A140G945-1];ENST00000624932 [A0A140G945-2];	CRYAA2		IPR002068;IPR001436;IPR012274;IPR003090;IPR008978;	Homo sapiens (Human)
Q14061	reviewed	ENST00000261070;ENST00000468918;ENST00000497116;	COX17	NMR spectroscopy (4)	IPR009069;IPR007745;	Homo sapiens (Human)
P21917	reviewed	ENST00000176183;ENST00000611962;	DRD4	X-ray crystallography (2)	IPR002185;IPR000929;IPR000276;IPR017452;	Homo sapiens (Human)
Q96GK7	reviewed	ENST00000233379;ENST00000447036;	FAHD2A		IPR011234;IPR036663;	Homo sapiens (Human)
Q6DHV7	reviewed	ENST00000389651 [Q6DHV7-2];ENST00000422466 [Q6DHV7-3];ENST00000428046 [Q6DHV7-3];ENST00000562188 [Q6DHV7-1];ENST00000610420 [Q6DHV7-2];	ADAL		IPR001365;IPR032466;	Homo sapiens (Human)
O75185	reviewed	ENST00000262429 [O75185-1];ENST00000416219 [O75185-3];	ATP2C2		IPR030334;IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006413;IPR001757;IPR044492;	Homo sapiens (Human)
Q93084	reviewed	ENST00000309890 [Q93084-3];ENST00000352011 [Q93084-1];ENST00000359983 [Q93084-5];ENST00000397035 [Q93084-3];ENST00000397041 [Q93084-2];ENST00000397043 [Q93084-4];	ATP2A3		IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR005782;IPR001757;IPR044492;	Homo sapiens (Human)
Q9UIV1	reviewed	ENST00000361272 [Q9UIV1-1];ENST00000523917 [Q9UIV1-2];	CNOT7	X-ray crystallography (2)	IPR039636;IPR039637;IPR006941;IPR012337;IPR036397;	Homo sapiens (Human)
O14815	reviewed	ENST00000271971 [O14815-1];ENST00000354537 [O14815-2];	CAPN9	X-ray crystallography (2)	IPR033883;IPR022684;IPR022682;IPR022683;IPR036213;IPR029542;IPR011992;IPR018247;IPR002048;IPR038765;IPR000169;IPR001300;	Homo sapiens (Human)
Q9Y2D0	reviewed	ENST00000318636;ENST00000454127;	CA5B		IPR018437;IPR001148;IPR036398;IPR023561;IPR018338;	Homo sapiens (Human)
Q9UJS0	reviewed	ENST00000265631 [Q9UJS0-1];ENST00000416240 [Q9UJS0-2];	SLC25A13	X-ray crystallography (1)	IPR029658;IPR011992;IPR002048;IPR002067;IPR018108;IPR023395;	Homo sapiens (Human)
Q5TCH4	reviewed	ENST00000371891 [Q5TCH4-1];	CYP4A22		IPR001128;IPR017972;IPR002401;IPR036396;	Homo sapiens (Human)
P11712	reviewed	ENST00000260682 [P11712-1];ENST00000461906 [P11712-2];	CYP2C9	X-ray crystallography (12)	IPR001128;IPR017972;IPR002401;IPR036396;	Homo sapiens (Human)
P00156	reviewed	ENST00000361789;	MT-CYB	Electron microscopy (3)	IPR005798;IPR036150;IPR005797;IPR027387;IPR030689;IPR016174;	Homo sapiens (Human)
P60002	reviewed	ENST00000252445;ENST00000586120;ENST00000590700;	ELOF1		IPR007808;IPR038567;	Homo sapiens (Human)
P40394	reviewed	ENST00000209665 [P40394-1];ENST00000476959 [P40394-2];	ADH7	X-ray crystallography (3)	IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;IPR028635;	Homo sapiens (Human)
P11766	reviewed	ENST00000296412;	ADH5	X-ray crystallography (9)	IPR014183;IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;	Homo sapiens (Human)
Q9NRN7	reviewed	ENST00000278618 [Q9NRN7-1];ENST00000525660 [Q9NRN7-2];	AASDHPPT	X-ray crystallography (3)	IPR008278;IPR037143;	Homo sapiens (Human)
Q13489	reviewed	ENST00000263464;ENST00000526421;ENST00000532808;ENST00000615299;	BIRC3	X-ray crystallography (5)	IPR001370;IPR001315;IPR011029;IPR001841;	Homo sapiens (Human)
P27797	reviewed	ENST00000316448;ENST00000586967;	CALR	Electron microscopy (1); X-ray crystallography (6)	IPR001580;IPR018124;IPR009169;IPR009033;IPR013320;	Homo sapiens (Human)
Q16611	reviewed	ENST00000374467 [Q16611-1];ENST00000442998 [Q16611-2];	BAK1	X-ray crystallography (29); NMR spectroscopy (3)	IPR026308;IPR002475;IPR020717;IPR020726;IPR020728;IPR036834;IPR026298;	Homo sapiens (Human)
P00918	reviewed	ENST00000285379;	CA2	Electron microscopy (2); X-ray crystallography (932); NMR spectroscopy (2); Neutron diffraction (4)	IPR001148;IPR036398;IPR023561;IPR018338;	Homo sapiens (Human)
Q70JA7	reviewed	ENST00000305031;	CHSY3		IPR008428;IPR029044;	Homo sapiens (Human)
Q86X52	reviewed	ENST00000254190;	CHSY1		IPR008428;IPR029044;	Homo sapiens (Human)
Q9BWV3	reviewed	ENST00000251108 [Q9BWV3-1];	CDADC1		IPR016192;IPR002125;IPR016193;IPR015517;IPR035105;	Homo sapiens (Human)
